P64	detEff	detEffNormed	P256	detEff	detEffNormed	P1024	detEff	detEffNormed
0.798	0.525	0.00525	0.399	0.374	0.00374	0.2	0.345	0.00345
0.825	1.126	0.01126	0.412	0.962	0.00962	0.206	0.874	0.00874
0.854	2.659	0.02659	0.427	2.515	0.02515	0.214	2.282	0.02282
0.886	7.692	0.07692	0.443	7.51	0.0751	0.221	6.864	0.06864
0.921	14.102	0.14102	0.461	13.807	0.13807	0.23	12.464	0.12464
0.96	22.307	0.22307	0.48	21.9	0.219	0.24	19.757	0.19757
1.003	30.268	0.30268	0.502	29.879	0.29879	0.251	26.95	0.2695
1.051	39.003	0.39003	0.526	38.654	0.38654	0.263	35.085	0.35085
1.106	48.173	0.48173	0.553	47.72	0.4772	0.276	43.495	0.43495
1.168	57.535	0.57535	0.584	57.144	0.57144	0.292	52.898	0.52898
1.24	67.035	0.67035	0.62	66.693	0.66693	0.31	62.781	0.62781
1.324	76.202	0.76202	0.662	76.024	0.76024	0.331	72.333	0.72333
1.424	84.271	0.84271	0.712	84.092	0.84092	0.356	80.937	0.80937
1.546	88.856	0.88856	0.773	88.775	0.88775	0.386	86.426	0.86426
1.696	92.777	0.92777	0.848	92.696	0.92696	0.424	91.1	0.911
1.89	96.059	0.96059	0.945	96.012	0.96012	0.473	95.123	0.95123
2.152	98.886	0.98886	1.076	98.857	0.98857	0.538	98.281	0.98281
2.527	99.951	0.99951	1.263	99.944	0.99944	0.632	99.696	0.99696
3.124	99.996	0.99996	1.562	99.996	0.99996	0.781	99.988	0.99988
6.247	100	1	3.124	100	1	1.562	100	1
