GRBID	z	Epkz	Epkzer	Eiso	Eisoer	LogEpk	LogEiso
970228	0.695	195	64	1.6E52	1.2E51	2.29003	52.20412
970508	0.835	145	43	6.12E51	1.3E51	2.16137	51.78675
970828	0.958	583	117	2.96E53	3.5E52	2.76567	53.47129
971214	3.42	685	133	2.11E53	2.4E52	2.83569	53.32428
980326	1	71	36	4.82E51	8.6E50	1.85126	51.68305
980613	1.096	194	89	5.9E51	9.5E50	2.2878	51.77085
980703	0.966	499	100	6.9E52	8.2E51	2.6981	52.83885
990123	1.6	2031	161	2.39E54	2.8E53	3.30771	54.3784
990506	1.3	653	130	9.5E53	1.13E53	2.81491	53.97772
990510	1.619	423	42	1.78E53	2.6E52	2.62634	53.25042
990705	0.843	348	28	1.82E53	2.3E52	2.54158	53.26007
990712	0.433	93	15	6.72E51	1.29E51	1.96848	51.82737
991208	0.706	313	31	2.23E53	1.8E52	2.49554	53.3483
991216	1.02	642	129	6.75E53	8.1E52	2.80754	53.8293
131	4.5	714	142	1.84E54	2.2E53	2.8537	54.26482
210	0.846	753	26	1.49E53	1.6E52	2.87679	53.17319
418	1.12	284	21	9.1E52	1.7E52	2.45332	52.95904
911	1.06	1856	371	6.7E53	1.4E53	3.26858	53.82607
926	2.07	310	20	2.7E53	5.8E52	2.49136	53.43136
10222	1.48	766	30	8.1E53	8.6E51	2.88423	53.90849
10921	0.45	129	26	1.1E52	1.1E51	2.11059	52.04139
11211	2.14	185	25	6.64E52	1.32E52	2.26717	52.82217
20124	3.198	390	113	2.15E53	7.3E52	2.59106	53.33244
20405	0.695	617	171	1.25E53	1.3E52	2.79029	53.09691
20813	1.255	478	95	6.77E53	1E53	2.67943	53.83059
20819	0.41	70	21	6.8E51	1.7E50	1.8451	51.83251
20903	0.25	3.37	1.79	1.8E49	3.1E48	0.52763	49.25527
21004	2.335	267	117	4.09E52	7.1E51	2.42651	52.61172
21211	1.01	94	19	1.1E52	1.3E51	1.97313	52.04139
30226	1.986	290	63	6.7E52	1.2E52	2.4624	52.82607
30328	1.52	328	35	3.61E53	4E52	2.51587	53.55751
30329	0.169	79	3	1.66E52	2E51	1.89763	52.22011
30429	2.656	128	37	1.73E52	3.1E51	2.10721	52.23805
40924	0.859	102	35	9.5E51	1E51	2.0086	51.97772
41006	0.716	108	22	8.3E52	1.3E52	2.03342	52.91908
50126	1.29	263	110	7.36E51	1.6E51	2.41996	51.86688
50223	0.5915	110	54	1.21E51	1.77E50	2.04139	51.08279
50318	1.44	115	27	2E52	3.1E51	2.0607	52.30103
50401	2.9	501	117	4.1E53	8E52	2.69984	53.61278
50416	0.653	28.6	8.3	8.3E50	2.9E50	1.45637	50.91908
50505	4.27	661	245	1.76E53	2.61E52	2.8202	53.24551
50525	0.606	127	5.5	2.89E52	5.7E51	2.1038	52.4609
50603	2.821	1333	107	5.98E53	4E52	3.12483	53.7767
50803	0.422	138	48	1.86E51	3.99E50	2.13988	51.26951
50814	5.3	339	47	1.12E53	2.43E52	2.5302	53.04922
50820	2.612	1325	277	9.75E53	7.7E52	3.12222	53.989
50904	6.29	3178	1094	1.24E54	1E53	3.50215	54.09342
50908	3.344	195	36	1.97E52	3.21E51	2.29003	52.29447
50922	2.198	417	118	4.53E52	7.8E51	2.62014	52.6561
51022	0.8	918	63	5.3E53	5E52	2.96284	53.72428
51109	2.346	539	381	7.52E52	8.8E51	2.73159	52.87622
60115	3.53	288	47	7.38E52	1.23E52	2.45939	52.86806
60124	2.297	636	162	4.3E53	3E52	2.80346	53.63347
60206	4.048	381	98	4.68E52	7.1E51	2.58092	52.67025
60210	3.91	575	186	4.15E53	5.7E52	2.75967	53.61805
60223	4.41	339	63	4.29E52	6.64E51	2.5302	52.63246
60418	1.489	572	114	1.28E53	1E52	2.7574	53.10721
60510	4.9	575	227	3.67E53	2.87E52	2.75967	53.56467
60522	5.11	427	79	7.77E52	1.52E52	2.63043	52.89042
60526	3.21	105	21	2.58E52	2.6E51	2.02119	52.41162
60605	3.78	490	251	2.83E52	4.5E51	2.6902	52.45179
60607	3.082	575	200	1.09E53	1.55E52	2.75967	53.03743
60614	0.125	55	45	2.51E51	1E51	1.74036	51.39967
60707	3.43	302	42	6.62E52	1.39E52	2.48001	52.82086
60714	2.711	234	109	1.34E53	9.12E51	2.36922	53.1271
60814	0.84	473	155	7.01E52	7E51	2.67486	52.84572
60904	0.703	135	41	3.64E51	7.43E50	2.13033	51.5611
60906	3.686	209	43	1.49E53	1.56E52	2.32015	53.17319
60908	2.43	479	110	7.79E52	1.35E52	2.68034	52.89154
60927	5.6	473	116	9.55E52	1.48E52	2.67486	52.98
61007	1.261	902	43	8.82E53	9.8E52	2.95521	53.94547
61121	1.314	1289	153	2.61E53	3E52	3.11025	53.41664
61126	1.1588	1337	410	3E53	3E52	3.12613	53.47712
61222	3.355	200	28	1.03E53	1.6E52	2.30103	53.01284
70125	1.547	934	148	9.3E53	9.3E52	2.97035	53.96848
