                       trigger             logPbol_1eV_20MeV             logSbol_1eV_20MeV                        logEpk                    logEPR1024                        logEFR                    logFPR1024                        logT90
                          6395                 -0.141810E+02                 -0.127368E+02                  0.700907E+01                  0.211900E+02                  0.197459E+02                  0.144418E+01                  0.289315E+01
                           204                 -0.143079E+02                 -0.126210E+02                  0.677881E+01                  0.210867E+02                  0.193998E+02                  0.168687E+01                  0.413772E+01
                          7963                 -0.144860E+02                 -0.122912E+02                  0.691006E+01                  0.213961E+02                  0.192013E+02                  0.219482E+01                  0.257871E+01
                          1384                 -0.142602E+02                 -0.141917E+02                  0.597060E+01                  0.202308E+02                  0.201623E+02                  0.684789E-01                  0.389487E+01
                          2825                 -0.149208E+02                 -0.120790E+02                  0.689624E+01                  0.218171E+02                  0.189752E+02                  0.284185E+01                  0.346887E+01
                          7924                 -0.151349E+02                 -0.131333E+02                  0.638737E+01                  0.215223E+02                  0.195207E+02                  0.200164E+01                  0.416975E+01
                          6519                 -0.143902E+02                 -0.127756E+02                  0.653013E+01                  0.209203E+02                  0.193058E+02                  0.161457E+01                  0.487519E+01
                          2691                 -0.141219E+02                 -0.107861E+02                  0.740511E+01                  0.215270E+02                  0.181912E+02                  0.333576E+01                  0.328653E+01
                          2508                 -0.145445E+02                 -0.116453E+02                  0.700446E+01                  0.215489E+02                  0.186497E+02                  0.289918E+01                  0.337349E+01
                          5559                 -0.149734E+02                 -0.133922E+02                  0.616863E+01                  0.211420E+02                  0.195608E+02                  0.158119E+01                  0.281781E+01
                          7656                 -0.140514E+02                 -0.114997E+02                  0.701137E+01                  0.210628E+02                  0.185110E+02                  0.255172E+01                  0.409600E+01
                          6698                 -0.141113E+02                 -0.113233E+02                  0.703670E+01                  0.211480E+02                  0.183600E+02                  0.278797E+01                  0.461413E+01
                          7563                 -0.145040E+02                 -0.140302E+02                  0.575416E+01                  0.202582E+02                  0.197843E+02                  0.473849E+00                  0.203862E+01
                          6370                 -0.156095E+02                 -0.152224E+02                  0.516470E+01                  0.207742E+02                  0.203871E+02                  0.387065E+00                  0.370327E+01
                          2725                 -0.149152E+02                 -0.126633E+02                  0.639198E+01                  0.213072E+02                  0.190552E+02                  0.225193E+01                  0.242745E+01
                          6228                 -0.152447E+02                 -0.141124E+02                  0.564594E+01                  0.208907E+02                  0.197583E+02                  0.113237E+01                  0.341443E+01
                          2114                 -0.148268E+02                 -0.137899E+02                  0.579561E+01                  0.206224E+02                  0.195855E+02                  0.103685E+01                  0.196963E+01
                          3465                 -0.145114E+02                 -0.118328E+02                  0.671664E+01                  0.212280E+02                  0.185494E+02                  0.267860E+01                  0.283674E+01
                          6670                 -0.139863E+02                 -0.109600E+02                  0.705282E+01                  0.210391E+02                  0.180129E+02                  0.302629E+01                  0.369685E+01
                          6539                 -0.127153E+02                 -0.934804E+01                  0.771827E+01                  0.204336E+02                  0.170663E+02                  0.336730E+01                  0.261228E+01
                          7535                 -0.155369E+02                 -0.152889E+02                  0.495516E+01                  0.204921E+02                  0.202441E+02                  0.247988E+00                  0.228156E+01
                          5494                 -0.144542E+02                 -0.133368E+02                  0.590153E+01                  0.203558E+02                  0.192383E+02                  0.111744E+01                  0.346574E+01
                          1551                 -0.144235E+02                 -0.117493E+02                  0.663835E+01                  0.210619E+02                  0.183877E+02                  0.267422E+01                  0.338236E+01
                          5612                 -0.147328E+02                 -0.108345E+02                  0.702749E+01                  0.217603E+02                  0.178620E+02                  0.389828E+01                  0.429250E+01
                          7749                 -0.155439E+02                 -0.136417E+02                  0.570581E+01                  0.212497E+02                  0.193475E+02                  0.190217E+01                  0.295491E+01
                          6339                 -0.137498E+02                 -0.114758E+02                  0.669361E+01                  0.204434E+02                  0.181694E+02                  0.227401E+01                  0.272327E+01
                          3935                 -0.146274E+02                 -0.114130E+02                  0.670973E+01                  0.213371E+02                  0.181227E+02                  0.321441E+01                  0.330432E+01
                          3671                 -0.141912E+02                 -0.122119E+02                  0.633211E+01                  0.205233E+02                  0.185440E+02                  0.197930E+01                  0.425191E+01
                           559                 -0.150403E+02                 -0.109624E+02                  0.690315E+01                  0.219434E+02                  0.178656E+02                  0.407788E+01                  0.353164E+01
                          2551                 -0.150248E+02                 -0.135503E+02                  0.567817E+01                  0.207030E+02                  0.192284E+02                  0.147458E+01                  0.414930E+01
                          3321                 -0.151353E+02                 -0.132753E+02                  0.580942E+01                  0.209447E+02                  0.190847E+02                  0.186003E+01                  0.313158E+01
                           840                 -0.139392E+02                 -0.119886E+02                  0.641961E+01                  0.203588E+02                  0.184082E+02                  0.195063E+01                  0.433782E+01
                          5618                 -0.144583E+02                 -0.119321E+02                  0.642191E+01                  0.208802E+02                  0.183540E+02                  0.252617E+01                  0.309739E+01
                          8061                 -0.145168E+02                 -0.109603E+02                  0.686170E+01                  0.213785E+02                  0.178220E+02                  0.355657E+01                  0.329362E+01
                          2081                 -0.142628E+02                 -0.117072E+02                  0.651171E+01                  0.207745E+02                  0.182189E+02                  0.255564E+01                  0.275240E+01
                          2233                 -0.155646E+02                 -0.125908E+02                  0.606271E+01                  0.216273E+02                  0.186535E+02                  0.297379E+01                  0.265394E+01
                          3807                 -0.146955E+02                 -0.133900E+02                  0.565515E+01                  0.203507E+02                  0.190451E+02                  0.130557E+01                  0.173976E+01
                          2496                 -0.155694E+02                 -0.145555E+02                  0.507950E+01                  0.206489E+02                  0.196350E+02                  0.101392E+01                  0.359758E+01
                          1390                 -0.154361E+02                 -0.120960E+02                  0.626994E+01                  0.217060E+02                  0.183659E+02                  0.334013E+01                  0.287526E+01
                           741                 -0.157719E+02                 -0.131546E+02                  0.576337E+01                  0.215353E+02                  0.189179E+02                  0.261735E+01                  0.252412E+01
                          7386                 -0.151933E+02                 -0.130314E+02                  0.581403E+01                  0.210073E+02                  0.188454E+02                  0.216190E+01                  0.302578E+01
                          1819                 -0.134226E+02                 -0.120894E+02                  0.625612E+01                  0.196788E+02                  0.183456E+02                  0.133320E+01                  0.397009E+01
                          1704                 -0.151079E+02                 -0.125683E+02                  0.600514E+01                  0.211130E+02                  0.185735E+02                  0.253952E+01                  0.226841E+01
                          7918                 -0.147657E+02                 -0.120756E+02                  0.622849E+01                  0.209942E+02                  0.183041E+02                  0.269011E+01                  0.418647E+01
                          6151                 -0.146999E+02                 -0.122134E+02                  0.616172E+01                  0.208616E+02                  0.183751E+02                  0.248656E+01                  0.247148E+01
                          6227                 -0.158136E+02                 -0.149393E+02                  0.479628E+01                  0.206099E+02                  0.197356E+02                  0.874292E+00                  0.175093E+01
                           237                 -0.148102E+02                 -0.135876E+02                  0.547094E+01                  0.202812E+02                  0.190585E+02                  0.122267E+01                  0.370154E+01
                          6695                 -0.153658E+02                 -0.132346E+02                  0.563673E+01                  0.210026E+02                  0.188713E+02                  0.213127E+01                  0.357739E+01
                          6189                 -0.139000E+02                 -0.118517E+02                  0.629987E+01                  0.201999E+02                  0.181516E+02                  0.204833E+01                  0.210316E+01
                          1213                 -0.156998E+02                 -0.134638E+02                  0.551469E+01                  0.212145E+02                  0.189785E+02                  0.223604E+01                  0.300667E+01
                          7381                 -0.156884E+02                 -0.138421E+02                  0.531897E+01                  0.210073E+02                  0.191611E+02                  0.184621E+01                  0.226841E+01
                           549                 -0.156210E+02                 -0.131874E+02                  0.563673E+01                  0.212577E+02                  0.188241E+02                  0.243360E+01                  0.266722E+01
                          1303                 -0.141217E+02                 -0.106909E+02                  0.681335E+01                  0.209351E+02                  0.175042E+02                  0.343085E+01                  0.305636E+01
                          6616                 -0.154430E+02                 -0.134822E+02                  0.547555E+01                  0.209186E+02                  0.189577E+02                  0.196088E+01                  0.354644E+01
                          5379                 -0.139457E+02                 -0.118771E+02                  0.624922E+01                  0.201949E+02                  0.181263E+02                  0.206860E+01                  0.242745E+01
                          5571                 -0.140388E+02                 -0.135704E+02                  0.542029E+01                  0.194590E+02                  0.189907E+02                  0.468346E+00                  0.208741E+01
                          2344                 -0.149463E+02                 -0.112903E+02                  0.650711E+01                  0.214535E+02                  0.177974E+02                  0.365604E+01                  0.345063E+01
                          3136                 -0.156437E+02                 -0.143320E+02                  0.503345E+01                  0.206771E+02                  0.193655E+02                  0.131164E+01                  0.297298E+01
                          6708                 -0.136281E+02                 -0.126390E+02                  0.586468E+01                  0.194928E+02                  0.185036E+02                  0.989191E+00                  0.249814E+01
                          2775                 -0.150903E+02                 -0.120451E+02                  0.614560E+01                  0.212359E+02                  0.181907E+02                  0.304517E+01                  0.345473E+01
                          6141                 -0.141468E+02                 -0.126002E+02                  0.587850E+01                  0.200253E+02                  0.184787E+02                  0.154655E+01                  0.413772E+01
                          5983                 -0.143860E+02                 -0.122676E+02                  0.603738E+01                  0.204234E+02                  0.183050E+02                  0.211838E+01                  0.258852E+01
